"","X.idx.","X.humidity.","X.pressure.","X.temp.","X.dominant.","X.pm10.","X.pm2.5.","X.co.","X.no2.","X.o3.","X.so2.","X.t.local.","X.t.zone.","X.t.univ.","X.t.iso."
"1","idx","humidity","pressure","temp","dominant","pm10","pm2-5","co","no2","o3","so2","t-local","t-zone","t-univ","t-iso"
"51","3214","62","1014","15","pm25","11","55",NA,"2.4","9.4","0.6","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"52","3215","82.6","1013.3","14.2","pm25","13","27",NA,"9.2","13.1",NA,"2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"53","3216","84","1008.9","15.9","o3","10","30",NA,"7.8","22.8","1.4","2021-07-31 20:00:00","+01:00","1627761600","2021-07-31T20:00:00+01:00"
"54","3217","67.5","1005.2","16.9","pm25","6","13",NA,"8.8","6.8","0.6","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"55","3218","76.1","1014.4","16.6","pm25","13","46","4.4","14.2","10.5","0.6","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"56","3219","73.4","1018","18.1","pm25","14","34",NA,"11.3","9.8","1","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"57","3220","57.7","1014.9","21.3","pm25","13","32",NA,"6","11","1","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"58","3221","68.5","1011.8","16.8","o3","6","17",NA,"3.2","22.6","1","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"59","3222","77","1006","16","o3","8","5","1","1","17.7","1.1","2021-07-29 18:00:00","+01:00","1627581600","2021-07-29T18:00:00+01:00"
"60","3223","67","1015","16","pm25","15","17","2.8","7","6","1.1","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"61","3224","60.7","1021.5","17.3","pm25","10","34",NA,"6.9",NA,"3.7","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"62","3225","60","1010.8","19","pm25","20","25",NA,"6.9",NA,"3.7","2021-07-28 15:00:00","+01:00","1627484400","2021-07-28T15:00:00+01:00"
"63","3226","65.5","1021.2","21.6","pm10","18","42",NA,"2.3",NA,"3.7","2021-07-13 13:00:00","+01:00","1626181200","2021-07-13T13:00:00+01:00"
"64","3390","87","1015","14","pm25","10","13",NA,"22","2",NA,"2021-08-02 05:00:00","+01:00","1627880400","2021-08-02T05:00:00+01:00"
"65","4601","82","1015","16","o3","12",NA,NA,"10.1","16.7",NA,"2021-08-02 11:00:00","+02:00","1627902000","2021-08-02T11:00:00+02:00"
"66","4602","82","1015","16","pm10","26",NA,NA,"10.6","18.3",NA,"2021-08-02 11:00:00","+02:00","1627902000","2021-08-02T11:00:00+02:00"
"67","4611","89","1016.6","17.2","o3","10",NA,NA,NA,"23.2",NA,"2021-08-02 12:00:00","+02:00","1627905600","2021-08-02T12:00:00+02:00"
"68","4903","81.8","1015","18.6","pm10","12","25",NA,NA,NA,NA,"2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"69","4904","70.6","1019.5","14.4","o3","9","14",NA,"6.5","16.5","4","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"70","4905","67.3","1014.9","17.7","o3","7","17",NA,"3.2","18.4","0.5","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
