1,stationIDX,lat,lon,name,url
48,3204,50.82881,-1.068583,"Portsmouth, United Kingdom",https://aqicn.org/city/united-kingdom/portsmouth
49,3205,53.76559,-2.680353,"Preston, United Kingdom",https://aqicn.org/city/united-kingdom/preston
50,3206,51.45309,-0.944067,"Reading New Town, United Kingdom",https://aqicn.org/city/united-kingdom/reading-new-town
51,3207,51.45617,0.634889,"Rochester Stoke, United Kingdom",https://aqicn.org/city/united-kingdom/rochester-stoke
52,3208,53.48481,-2.334139,"Salford Eccles, United Kingdom",https://aqicn.org/city/united-kingdom/salford-eccles
53,3209,50.411463,-4.227678,"Saltash Callington Road, United Kingdom",https://aqicn.org/city/united-kingdom/saltash-callington-road
54,3210,52.132417,-0.300306,"Sandy Roadside, United Kingdom",https://aqicn.org/city/united-kingdom/sandy-roadside
55,3211,50.90814,-1.395778,"Southampton Centre, United Kingdom",https://aqicn.org/city/united-kingdom/southampton-centre
56,3212,51.544206,0.678408,"Southend-on-Sea, United Kingdom",https://aqicn.org/city/united-kingdom/southend-on-sea
57,3213,51.518167,0.439548,"Stanford-le-Hope Roadside, United Kingdom",https://aqicn.org/city/united-kingdom/stanford-le-hope-roadside
58,3214,54.516667,-1.358547,"Stockton-on-Tees Eaglescliffe, United Kingdom",https://aqicn.org/city/united-kingdom/stockton-on-tees-eaglescliffe
59,3215,53.02821,-2.175133,"Stoke-on-Trent Centre, United Kingdom",https://aqicn.org/city/united-kingdom/stoke-on-trent-centre
60,3216,50.916932,-0.449548,"Storrington Roadside, United Kingdom",https://aqicn.org/city/united-kingdom/storrington-roadside
61,3217,54.88361,-1.406878,"Sunderland Silksworth, United Kingdom",https://aqicn.org/city/united-kingdom/sunderland-silksworth
62,3218,51.632696,-3.947374,"Swansea Roadside, United Kingdom",https://aqicn.org/city/united-kingdom/swansea-roadside
63,3219,53.38928,-2.615358,"Warrington, United Kingdom",https://aqicn.org/city/united-kingdom/warrington
64,3220,53.54914,-2.638139,"Wigan Centre, United Kingdom",https://aqicn.org/city/united-kingdom/wigan-centre
65,3221,53.37287,-3.022722,"Wirral Tranmere, United Kingdom",https://aqicn.org/city/united-kingdom/wirral-tranmere
66,3222,53.967513,-1.086514,"York Bootham, United Kingdom",https://aqicn.org/city/united-kingdom/york-bootham
67,3223,53.951889,-1.075861,"York Fishergate, United Kingdom",https://aqicn.org/city/united-kingdom/york-fishergate
68,3224,52.199575,0.12774,"Cambridge Gonville Place, United Kingdom",https://aqicn.org/city/united-kingdom/cambridge-gonville-place
69,3225,52.20843,0.141521,"Cambridge Newmarket Road, United Kingdom",https://aqicn.org/city/united-kingdom/cambridge-newmarket-road
70,3226,52.225556,0.087222,"Girton Road, United Kingdom",https://aqicn.org/city/united-kingdom/girton-road
71,3390,51.487534,-0.479451,"London Hillingdon Harmondsworth Os, United Kingdom",https://aqicn.org/city/united-kingdom/london-hillingdon-harmondsworth-os
72,4600,49.5001917595947,0.110902803971606,"Rue  Lafaurie (coté Montant), Le Havre, France",https://aqicn.org/city/france/le-havre/rue--lafaurie-cote-montant
73,4601,49.6363652434001,-1.62666731502932,"Cherbourg Rue Paul Doumer, France",https://aqicn.org/city/france/normandie/cherbourg-rue-paul-doumer
74,4602,49.6469486216996,-1.59341688636545,"Tourlaville - Boulevard Maritime, France",https://aqicn.org/city/france/normandie/tourlaville-boulevard-maritime
75,4610,49.9180080986299,1.07397213322362,"Dieppe, avenue Gambetta, proxi auto, France",https://aqicn.org/city/france/normandie/dieppe--avenue-gambetta--proxi-auto
76,4611,49.9163688532011,0.957177603971399,"Phare d Ailly, France",https://aqicn.org/city/france/normandie/phare-d-ailly
77,4903,51.074793,-4.041924,"Barnstaple A39, United Kingdom",https://aqicn.org/city/united-kingdom/barnstaple-a39
78,4904,55.865782,-4.243631,"Glasgow Townhead, United Kingdom",https://aqicn.org/city/united-kingdom/glasgow-townhead
79,4905,52.619823,-1.127311,"Leicester University, United Kingdom",https://aqicn.org/city/united-kingdom/leicester-university
