stationIDX,lat,lon,name,url
3214,54.516667,-1.358547,"Stockton-on-Tees Eaglescliffe, United Kingdom",https://aqicn.org/city/united-kingdom/stockton-on-tees-eaglescliffe
3215,53.02821,-2.175133,"Stoke-on-Trent Centre, United Kingdom",https://aqicn.org/city/united-kingdom/stoke-on-trent-centre
3216,50.916932,-0.449548,"Storrington Roadside, United Kingdom",https://aqicn.org/city/united-kingdom/storrington-roadside
3217,54.88361,-1.406878,"Sunderland Silksworth, United Kingdom",https://aqicn.org/city/united-kingdom/sunderland-silksworth
3218,51.632696,-3.947374,"Swansea Roadside, United Kingdom",https://aqicn.org/city/united-kingdom/swansea-roadside
3219,53.38928,-2.615358,"Warrington, United Kingdom",https://aqicn.org/city/united-kingdom/warrington
3220,53.54914,-2.638139,"Wigan Centre, United Kingdom",https://aqicn.org/city/united-kingdom/wigan-centre
3221,53.37287,-3.022722,"Wirral Tranmere, United Kingdom",https://aqicn.org/city/united-kingdom/wirral-tranmere
3222,53.967513,-1.086514,"York Bootham, United Kingdom",https://aqicn.org/city/united-kingdom/york-bootham
3223,53.951889,-1.075861,"York Fishergate, United Kingdom",https://aqicn.org/city/united-kingdom/york-fishergate
3224,52.199575,0.12774,"Cambridge Gonville Place, United Kingdom",https://aqicn.org/city/united-kingdom/cambridge-gonville-place
3225,52.20843,0.141521,"Cambridge Newmarket Road, United Kingdom",https://aqicn.org/city/united-kingdom/cambridge-newmarket-road
3226,52.225556,0.087222,"Girton Road, United Kingdom",https://aqicn.org/city/united-kingdom/girton-road
3390,51.487534,-0.479451,"London Hillingdon Harmondsworth Os, United Kingdom",https://aqicn.org/city/united-kingdom/london-hillingdon-harmondsworth-os
4600,49.50019176,0.110902804,"Rue  Lafaurie (coté Montant), Le Havre, France",https://aqicn.org/city/france/le-havre/rue--lafaurie-cote-montant
4601,49.63636524,-1.626667315,"Cherbourg Rue Paul Doumer, France",https://aqicn.org/city/france/normandie/cherbourg-rue-paul-doumer
4602,49.64694862,-1.593416886,"Tourlaville - Boulevard Maritime, France",https://aqicn.org/city/france/normandie/tourlaville-boulevard-maritime
4610,49.9180081,1.073972133,"Dieppe, avenue Gambetta, proxi auto, France",https://aqicn.org/city/france/normandie/dieppe--avenue-gambetta--proxi-auto
4611,49.91636885,0.957177604,"Phare d Ailly, France",https://aqicn.org/city/france/normandie/phare-d-ailly
4903,51.074793,-4.041924,"Barnstaple A39, United Kingdom",https://aqicn.org/city/united-kingdom/barnstaple-a39
4904,55.865782,-4.243631,"Glasgow Townhead, United Kingdom",https://aqicn.org/city/united-kingdom/glasgow-townhead
4905,52.619823,-1.127311,"Leicester University, United Kingdom",https://aqicn.org/city/united-kingdom/leicester-university
5014,50.94728682,1.843080895,"Calais Berthelot, Nord-Pas-de-Calais, France",https://aqicn.org/city/france/nord-pas-de-calais/calais-berthelot
5017,50.61047931,1.9914529,"Campagne-l, Nord-Pas-de-Calais",http://aqicn.org/city/france/nord-pas-de-calais/campagne-l/
5020,51.601203,-2.977281,"Newport, United Kingdom",https://aqicn.org/city/united-kingdom/newport
5021,53.378622,-1.478096,"Sheffield Devonshire Green, United Kingdom",https://aqicn.org/city/united-kingdom/sheffield-devonshire-green
5108,53.200903,-6.1110741,"Bray, Ireland",https://aqicn.org/city/ireland/bray
5109,53.7238764,-9.0017356,Claremorris,http://aqicn.org/city/ireland/claremorris/
5110,52.8474255,-8.9887384,Ennis,http://aqicn.org/city/ireland/ennis/
5111,53.7275564,-7.793109,Longford,http://aqicn.org/city/ireland/longford/
5112,53.3218816,-6.2655052,"Rathmines, Ireland",https://aqicn.org/city/ireland/rathmines
5169,50.12944722,1.610833333,"Arrest, Picardie, France",https://aqicn.org/city/france/picardie/arrest
5723,52.486243,-1.890401,Birmingham,https://aqicn.org/city/birmingham
5724,51.5073509,-0.1277583,London,https://aqicn.org/city/london
5964,57.128567,-2.125447,"Aberdeen Anderson Dr, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/aberdeen-anderson-dr
5965,57.169738,-2.095348,"Aberdeen King Street, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/aberdeen-king-street
5966,57.141922,-2.091664,"Aberdeen Market Street 2, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/aberdeen-market-street-2
5967,57.144555,-2.106472,"Aberdeen Union Street Roadside, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/aberdeen-union-street-roadside
5968,57.134195,-2.093968,"Aberdeen Wellington Road, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/aberdeen-wellington-road
5969,55.79216,-3.2429,"Auchencorth Moss, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/auchencorth-moss
5970,56.467332,-2.943423,"Dundee Broughty Ferry Road, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/dundee-broughty-ferry-road
5971,56.465126,-2.993867,"Dundee Lochee Road, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/dundee-lochee-road
5972,56.475434,-2.959861,"Dundee Mains Loan, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/dundee-mains-loan
5973,56.464258,-2.971386,"Dundee Meadowside, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/dundee-meadowside
5974,56.462383,-2.96739,"Dundee Seagate, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/dundee-seagate
